Crop Type,Waste Type,Waste Amount (kg),Biomass Yield (kg),Processing Method,Resulting Product
Sugarcane,Bagasse,634,218.0,Combustion,Heat Energy
Sugarcane,Bagasse,827,211.5,Combustion,Heat Energy
Soybean,Pod Shells,652,226.4,Composting,Organic Fertilizer
Sugarcane,Bagasse,370,105.6,Combustion,Heat Energy
Soybean,Pod Shells,746,252.2,Composting,Organic Fertilizer
Wheat,Straw,360,98.4,Pyrolysis,Biochar
Maize,Cob,809,274.4,Fermentation,Bioethanol
Soybean,Pod Shells,753,189.8,Composting,Organic Fertilizer
Sugarcane,Bagasse,61,16.1,Combustion,Heat Energy
Maize,Cob,933,265.6,Fermentation,Bioethanol
Rice,Husk,589,193.4,Gasification,Syngas
Wheat,Straw,178,57.4,Pyrolysis,Biochar
Sugarcane,Bagasse,97,30.3,Combustion,Heat Energy
Barley,Hull,320,89.5,Pelletizing,Pellets
Wheat,Straw,206,60.5,Pyrolysis,Biochar
Sugarcane,Bagasse,446,132.6,Combustion,Heat Energy
Wheat,Straw,110,35.1,Pyrolysis,Biochar
Wheat,Straw,640,218.5,Pyrolysis,Biochar
Corn,Stover,261,71.5,Anaerobic Digestion,Biogas
Wheat,Straw,777,220.0,Pyrolysis,Biochar
Rice,Husk,719,218.5,Gasification,Syngas
Rice,Husk,392,106.4,Gasification,Syngas
Cotton,Stalk,570,194.0,Briquetting,Solid Fuel
Barley,Hull,873,293.0,Pelletizing,Pellets
Corn,Stover,188,65.7,Anaerobic Digestion,Biogas
Sugarcane,Bagasse,686,220.8,Combustion,Heat Energy
Rice,Husk,909,250.5,Gasification,Syngas
Wheat,Straw,299,97.0,Pyrolysis,Biochar
Rice,Husk,360,96.7,Gasification,Syngas
Wheat,Straw,308,83.2,Pyrolysis,Biochar
Sugarcane,Bagasse,257,73.1,Combustion,Heat Energy
Soybean,Pod Shells,355,113.7,Composting,Organic Fertilizer
Soybean,Pod Shells,73,24.9,Composting,Organic Fertilizer
Corn,Stover,520,153.4,Anaerobic Digestion,Biogas
Cotton,Stalk,722,190.5,Briquetting,Solid Fuel
Corn,Stover,62,17.0,Anaerobic Digestion,Biogas
Barley,Hull,469,131.0,Pelletizing,Pellets
Sugarcane,Bagasse,984,275.8,Combustion,Heat Energy
Barley,Hull,222,69.5,Pelletizing,Pellets
Cotton,Stalk,188,55.7,Briquetting,Solid Fuel
Wheat,Straw,393,114.4,Pyrolysis,Biochar
Corn,Stover,881,230.3,Anaerobic Digestion,Biogas
Wheat,Straw,991,329.6,Pyrolysis,Biochar
Maize,Cob,562,142.6,Fermentation,Bioethanol
Corn,Stover,455,129.4,Anaerobic Digestion,Biogas
Maize,Cob,963,316.1,Fermentation,Bioethanol
Rice,Husk,197,51.5,Gasification,Syngas
Soybean,Pod Shells,140,36.7,Composting,Organic Fertilizer
Wheat,Straw,54,13.8,Pyrolysis,Biochar
Soybean,Pod Shells,501,132.6,Composting,Organic Fertilizer
Barley,Hull,313,101.8,Pelletizing,Pellets
Cotton,Stalk,583,198.5,Briquetting,Solid Fuel
Cotton,Stalk,918,319.7,Briquetting,Solid Fuel
Rice,Husk,829,243.7,Gasification,Syngas
Maize,Cob,260,66.7,Fermentation,Bioethanol
Maize,Cob,708,218.7,Fermentation,Bioethanol
Rice,Husk,468,151.1,Gasification,Syngas
Sugarcane,Bagasse,267,90.7,Combustion,Heat Energy
Barley,Hull,323,91.8,Pelletizing,Pellets
Wheat,Straw,254,70.2,Pyrolysis,Biochar
Rice,Husk,174,56.3,Gasification,Syngas
Wheat,Straw,901,305.3,Pyrolysis,Biochar
Sugarcane,Bagasse,132,33.2,Combustion,Heat Energy
Maize,Cob,421,126.4,Fermentation,Bioethanol
Sugarcane,Bagasse,311,88.5,Combustion,Heat Energy
Cotton,Stalk,722,236.8,Briquetting,Solid Fuel
Soybean,Pod Shells,205,71.3,Composting,Organic Fertilizer
Cotton,Stalk,136,37.8,Briquetting,Solid Fuel
Barley,Hull,748,218.6,Pelletizing,Pellets
Cotton,Stalk,395,135.8,Briquetting,Solid Fuel
Rice,Husk,575,157.9,Gasification,Syngas
Cotton,Stalk,744,191.8,Briquetting,Solid Fuel
Barley,Hull,967,251.7,Pelletizing,Pellets
